round,feature_set,classifier,snr,accuracy,macro_f1
0,base,svm_rbf,clean,0.9666666666666667,0.9666574048346762
0,base,svm_rbf,10.0 dB,0.9777777777777777,0.9777777777777779
0,base,svm_rbf,8.0 dB,0.9,0.899901124706464
0,base,svm_rbf,5.0 dB,0.9222222222222223,0.9213417820949341
0,base,svm_rbf,0.5 dB,0.5555555555555556,0.5284175908410914
0,base,rf,clean,0.9222222222222223,0.9220272904483431
0,base,rf,10.0 dB,0.9333333333333333,0.9330376885276825
0,base,rf,8.0 dB,0.8555555555555555,0.8529761904761904
0,base,rf,5.0 dB,0.8444444444444444,0.8388976614783067
0,base,rf,0.5 dB,0.5333333333333333,0.4985199082760059
0,base_cepstra,svm_rbf,clean,0.9555555555555556,0.9555061179087875
0,base_cepstra,svm_rbf,10.0 dB,0.9666666666666667,0.9666574048346762
0,base_cepstra,svm_rbf,8.0 dB,0.9111111111111111,0.9108724326361409
0,base_cepstra,svm_rbf,5.0 dB,0.9222222222222223,0.921623009758603
0,base_cepstra,svm_rbf,0.5 dB,0.7333333333333333,0.7171311780007432
0,base_cepstra,rf,clean,0.9,0.8999722145040289
0,base_cepstra,rf,10.0 dB,0.9111111111111111,0.9110122358175751
0,base_cepstra,rf,8.0 dB,0.8222222222222222,0.8214534901670217
0,base_cepstra,rf,5.0 dB,0.7666666666666667,0.7562662876095713
0,base_cepstra,rf,0.5 dB,0.6222222222222222,0.6182795698924731
0,fusion_mds,svm_rbf,clean,0.9777777777777777,0.9777777777777779
0,fusion_mds,svm_rbf,10.0 dB,1.0,1.0
0,fusion_mds,svm_rbf,8.0 dB,0.9888888888888889,0.9888858016115588
0,fusion_mds,svm_rbf,5.0 dB,0.9888888888888889,0.9888858016115588
0,fusion_mds,svm_rbf,0.5 dB,0.9222222222222223,0.9216010461912102
0,fusion_mds,rf,clean,0.6666666666666666,0.5555555555555555
0,fusion_mds,rf,10.0 dB,0.6666666666666666,0.5555555555555555
0,fusion_mds,rf,8.0 dB,0.6666666666666666,0.5525879535826119
0,fusion_mds,rf,5.0 dB,0.6666666666666666,0.5555555555555555
0,fusion_mds,rf,0.5 dB,0.6666666666666666,0.5498533724340176
0,fusion_iso,svm_rbf,clean,0.9666666666666667,0.9666574048346762
0,fusion_iso,svm_rbf,10.0 dB,0.9888888888888889,0.9888858016115588
0,fusion_iso,svm_rbf,8.0 dB,0.9666666666666667,0.9665831244778613
0,fusion_iso,svm_rbf,5.0 dB,0.9777777777777777,0.9777777777777779
0,fusion_iso,svm_rbf,0.5 dB,0.9111111111111111,0.9093247186978167
0,fusion_iso,rf,clean,0.9666666666666667,0.9666574048346762
0,fusion_iso,rf,10.0 dB,0.9777777777777777,0.9777530589543938
0,fusion_iso,rf,8.0 dB,0.9333333333333333,0.9333333333333332
0,fusion_iso,rf,5.0 dB,0.8777777777777778,0.8769230769230769
0,fusion_iso,rf,0.5 dB,0.7888888888888889,0.7858574813194824
