model,split,rmse_mds,acc,macro_f1
svr_svm,train,0.45395549722742684,1.0,1.0
svr_svm,val,1.6085405777610304,0.63,0.5947909488592612
svr_svm,test,1.4897278540484713,0.6208888888888889,0.5941338230349147
baseline_svm,train,,1.0,1.0
baseline_svm,val,,0.6228888888888889,0.6070462452289518
baseline_svm,test,,0.6991111111111111,0.6912332018619992
